Раздел,ID события,Описание события,Источник,Критичность,Данные,Таблица
Публичный доступ и ознакомление с контентом,,,,,,
,page_view.home,Просмотр главной страницы портала без авторизации,Portal Frontend,Низкая,"page_id, session_id, device, timestamp, duration_ms",user_events
,page_view.rules,Просмотр правил проведения промо-кампании,Portal Frontend,Низкая,"page_id, campaign_id, session_id, device, timestamp",user_events
,page_view.conditions,Просмотр условий участия в кампании,Portal Frontend,Низкая,"page_id, campaign_id, session_id, timestamp",user_events
,page_view.schedule,Просмотр графика активностей и сроков кампании,Portal Frontend,Низкая,"page_id, campaign_id, session_id, timestamp",user_events
,page_view.prizes,Просмотр описания призов и наград,Portal Frontend,Низкая,"page_id, campaign_id, session_id, prizes_viewed[], timestamp",user_events
,page_view.brand,Просмотр информации о бренде/производителе,Portal Frontend,Низкая,"page_id, brand_id, session_id, timestamp",user_events
,page_view.faq,Просмотр раздела часто задаваемых вопросов,Portal Frontend,Низкая,"page_id, session_id, faq_category, timestamp",user_events
,page_view.campaign_details,Просмотр детального описания промо-кампании,Portal Frontend,Низкая,"page_id, campaign_id, session_id, timestamp",user_events
,content_interaction.click_link,Клик по гиперссылке в публичном контенте,Portal Frontend,Низкая,"link_url, link_id, page_id, session_id, timestamp",user_events
,content_interaction.scroll,Прокрутка страницы (фиксация уровня прокрутки),Portal Frontend,Низкая,"page_id, scroll_depth_%, session_id, timestamp",user_events
,content_interaction.time_spent,Время пребывания пользователя на странице,Portal Frontend,Низкая,"page_id, duration_ms, session_id, timestamp",user_events
,content_interaction.search,Использование поиска по контенту портала,Portal Frontend,Средняя,"query_text, results_count, session_id, timestamp",user_events
,content_interaction.share,"Действие ""Поделиться"" информацией о кампании",Portal Frontend,Средняя,"share_channel (vk/telegram/email), campaign_id, session_id, timestamp",user_events
,content_interaction.video_play,Начало воспроизведения видео в контенте,Portal Frontend,Низкая,"video_id, page_id, session_id, timestamp",user_events
,content_interaction.video_pause,Пауза при воспроизведении видео,Portal Frontend,Низкая,"video_id, position_sec, session_id, timestamp",user_events
,content_interaction.video_complete,Завершение просмотра видео до конца,Portal Frontend,Средняя,"video_id, duration_ms, session_id, timestamp",user_events
Регистрация,,,,,,
,registration.start,Инициация процесса регистрации нового пользователя,Portal Frontend,Средняя,"campaign_id, portal_id, referrer, session_id, timestamp",user_events
,registration.step.name,Ввод имени пользователя на этапе регистрации,Portal Frontend,Средняя,"step_number, session_id, timestamp",user_events
,registration.step.phone,Ввод номера телефона на этапе регистрации,Portal Frontend,Высокая,"phone_hash, session_id, timestamp",user_events
,registration.step.phone.sending,Отправка СМС-кода подтверждения на телефон,Auth Service,Высокая,"phone_hash, sms_provider, cost, session_id, timestamp",crm_events
,registration.step.phone.verify,Ввод и верификация СМС-кода подтверждения,Auth Service,Высокая,"phone_hash, attempts, success (bool), session_id, timestamp",user_events
,registration.step.email,Ввод адреса электронной почты,Portal Frontend,Средняя,"email_hash, session_id, timestamp",user_events
,registration.step.email.sending,Отправка письма с подтверждением на email,Notification Service,Средняя,"email_hash, email_provider, session_id, timestamp",crm_events
,registration.step.email.verify,Верификация email через ссылку или код,Auth Service,Высокая,"email_hash, success (bool), session_id, timestamp",user_events
,registration.complete,Успешное завершение регистрации и создание аккаунта,Auth Service,Высокая,"user_id, campaign_id, portal_id, registration_method, timestamp",user_events
,registration.error.phone.format,Ошибка формата введенного номера телефона,Portal Frontend,Низкая,"error_code, phone_hash, session_id, timestamp",user_events
,registration.error.phone.existing,Попытка регистрации с уже существующим телефоном,Auth Service,Средняя,"phone_hash, existing_user_id, session_id, timestamp",crm_events
,registration.error.phone.timeout,Истечение времени ожидания СМС-кода,Auth Service,Средняя,"phone_hash, timeout_sec, session_id, timestamp",user_events
,registration.error.phone.attempts,Превышение лимита попыток ввода СМС-кода,Auth Service,Высокая,"phone_hash, attempts_count, session_id, timestamp",crm_events
,registration.error.email.format,Ошибка формата введенного email,Portal Frontend,Низкая,"error_code, email_hash, session_id, timestamp",user_events
,registration.error.email.existing,Попытка регистрации с уже существующим email,Auth Service,Средняя,"email_hash, existing_user_id, session_id, timestamp",crm_events
,registration.error.email.timeout,Истечение времени ожидания подтверждения email,Auth Service,Средняя,"email_hash, timeout_sec, session_id, timestamp",user_events
,registration.error.email.attempts,Превышение лимита попыток подтверждения email,Auth Service,Высокая,"email_hash, attempts_count, session_id, timestamp",crm_events
,registration.abandon,Прерывание процесса регистрации на любом этапе,Portal Frontend,Высокая,"last_step, reason, session_id, timestamp",user_events
,registration.time_spent,"Общее время, затраченное на завершение регистрации",Portal Frontend,Средняя,"total_duration_ms, steps_completed, session_id, timestamp",user_events
Авторизация,,,,,,
,auth.start,Инициация процесса входа в систему,Portal Frontend,Средняя,"login_method (password/sms), session_id, timestamp",user_events
,auth.step.credentials,Ввод логина (телефон/email) и пароля,Auth Service,Средняя,"login_type, session_id, timestamp",user_events
,auth.step.sms,Запрос и получение одноразового СМС-кода для входа,Auth Service,Средняя,"phone_hash, sms_sent (bool), session_id, timestamp",crm_events
,auth.complete,Успешная авторизация и вход в личный кабинет,Auth Service,Высокая,"user_id, login_method, session_id, timestamp",user_events
,auth.error.credentials,Ошибка неверных учетных данных (логин/пароль),Auth Service,Средняя,"login_type, attempts, session_id, timestamp",crm_events
,auth.error.sms,Ошибка при верификации СМС-кода,Auth Service,Средняя,"phone_hash, error_code, session_id, timestamp",crm_events
,auth.error.attempts,Превышение лимита попыток авторизации,Auth Service,Высокая,"user_id/phone_hash, attempts_count, session_id, timestamp",crm_events
,auth.forgot_password,Инициация процесса восстановления пароля,Auth Service,Средняя,"user_id/phone_hash, session_id, timestamp",crm_events
